# Time-averaged data for fix aveRg
# TimeStep c_Rg
20000 24.7785
30000 24.3707
40000 23.9693
50000 23.5671
60000 23.1925
70000 22.8904
80000 22.5615
90000 22.2915
100000 22.0168
110000 21.7296
120000 21.4549
130000 21.2143
140000 20.9992
150000 20.7881
160000 20.5878
170000 20.4062
180000 20.2484
190000 20.0934
200000 19.9143
210000 19.7528
220000 19.5955
230000 19.4377
240000 19.2936
250000 19.1445
260000 18.9915
270000 18.8541
280000 18.7059
290000 18.5695
300000 18.4282
310000 18.2779
320000 18.1408
330000 18.0058
340000 17.8642
350000 17.7207
360000 17.5749
370000 17.4333
380000 17.3013
390000 17.1808
400000 17.0713
410000 16.9679
420000 16.8784
430000 16.7922
440000 16.7084
450000 16.6285
460000 16.5458
470000 16.4564
480000 16.3655
490000 16.2802
500000 16.2015
510000 16.1271
520000 16.0496
530000 15.9717
540000 15.8929
550000 15.8134
560000 15.7344
570000 15.6579
580000 15.584
590000 15.5155
600000 15.454
610000 15.3961
620000 15.3363
630000 15.2725
640000 15.2093
650000 15.1529
660000 15.0952
670000 15.0363
680000 14.9791
690000 14.9192
700000 14.863
710000 14.8148
720000 14.7706
730000 14.7297
740000 14.6908
750000 14.6457
760000 14.5995
770000 14.5537
780000 14.5127
790000 14.47
800000 14.4311
810000 14.3936
820000 14.3596
830000 14.3227
840000 14.2818
850000 14.2511
860000 14.2237
870000 14.1967
880000 14.1696
890000 14.1435
900000 14.1171
910000 14.0884
920000 14.0609
930000 14.0336
940000 14.0064
950000 13.9809
960000 13.9534
970000 13.9275
980000 13.9038
990000 13.8822
1000000 13.8596
1010000 13.8374
1020000 13.8156
1030000 13.7938
1040000 13.7695
1050000 13.744
1060000 13.7195
1070000 13.695
1080000 13.6729
1090000 13.6504
1100000 13.6232
1110000 13.5925
1120000 13.564
1130000 13.5369
1140000 13.5108
1150000 13.4856
1160000 13.4599
1170000 13.4339
1180000 13.4067
1190000 13.3804
1200000 13.3557
1210000 13.3351
1220000 13.3148
1230000 13.2947
1240000 13.275
1250000 13.2587
1260000 13.2413
1270000 13.2239
1280000 13.2075
1290000 13.1893
1300000 13.1691
1310000 13.1485
1320000 13.1272
1330000 13.1042
1340000 13.0805
1350000 13.0552
1360000 13.0243
